City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Bangassou,CF,4.7413,22.8184,68.25,99,100,1.01,light rain
184,Sassandra,CI,4.95,-6.0833,77.38,78,89,6.71,overcast clouds
185,Bagdarin,RU,54.4333,113.6,59.86,43,23,0.65,few clouds
186,Mahebourg,MU,-20.4081,57.7,70.25,94,75,20.71,broken clouds
187,Husavik,IS,66.0449,-17.3389,43.18,92,100,4.54,overcast clouds
188,Butaritari,KI,3.0707,172.7902,82.24,69,15,13.47,few clouds
189,Opuwo,NA,-18.0607,13.84,55.94,52,0,2.71,clear sky
190,Cabo San Lucas,MX,22.8909,-109.9124,99.7,32,20,23.02,few clouds
191,Mecca,SA,21.4267,39.8261,90.68,21,0,2.98,clear sky
192,Umm Kaddadah,SD,13.6017,26.6876,88.11,35,45,8.61,scattered clouds
193,Astoria,US,46.1879,-123.8313,58.71,65,100,18.41,overcast clouds
194,Verkh-Usugli,RU,52.7,115.1667,57.63,74,67,3.51,broken clouds
195,Beloha,MG,-25.1667,45.05,60.94,74,0,7.85,clear sky
196,Verkhnyaya Sinyachikha,RU,57.976,61.6673,52.48,96,100,7.81,overcast clouds
197,Yumen,CN,40.2833,97.2,65.93,11,0,4.81,clear sky
198,Kangalassy,RU,62.3464,129.9628,58.93,67,1,7.56,clear sky
199,Makakilo City,US,21.3469,-158.0858,86.32,53,75,17.27,broken clouds
200,Passo Fundo,BR,-28.2628,-52.4067,38.86,84,0,3.53,clear sky
201,Marawi,PH,7.9986,124.2928,72.37,88,84,1.39,broken clouds
202,Bubaque,GW,11.2833,-15.8333,80.71,80,73,11.83,broken clouds
203,Baykit,RU,61.67,96.37,59.95,66,91,1.41,overcast clouds
204,Khatanga,RU,71.9667,102.5,61.92,40,100,10.78,overcast clouds
205,Airai,TL,-8.9266,125.4092,58.12,79,94,3.09,overcast clouds
206,Roros,NO,62.5747,11.3842,37.24,93,100,2.3,overcast clouds
207,Batemans Bay,AU,-35.7167,150.1833,51.1,66,1,3.09,clear sky
208,Boa Vista,BR,2.8197,-60.6733,80.58,74,40,2.3,scattered clouds
209,Izmir,TR,38.4622,27.0923,71.11,83,75,17.27,broken clouds
210,Acari,PE,-15.4311,-74.6158,66.54,71,8,4.16,clear sky
211,Okhotsk,RU,59.3833,143.3,45.1,85,100,6.62,overcast clouds
212,Aranos,NA,-24.1333,19.1167,55.09,45,2,14.41,clear sky
213,Berdigestyakh,RU,62.0989,126.6992,54.59,69,10,7.25,clear sky
214,Homer,US,59.6425,-151.5483,64.04,75,0,13.8,haze
215,Yuci,CN,37.6803,112.7319,65.95,63,0,4.47,clear sky
216,Kavieng,PG,-2.5744,150.7967,82.0,78,80,13.96,moderate rain
217,Egvekinot,RU,66.3167,-179.1667,43.86,42,100,1.05,overcast clouds
218,Pasinler,TR,39.9803,41.6764,52.79,83,9,4.56,clear sky
219,Kysyl-Syr,RU,63.8986,122.7617,52.99,81,86,7.4,overcast clouds
220,Mar Del Plata,AR,-38.0023,-57.5575,53.94,59,0,0.0,clear sky
221,Belmonte,BR,-15.8631,-38.8828,74.01,81,72,5.95,broken clouds
222,Hun,LY,29.1268,15.9477,75.97,45,0,6.78,clear sky
223,Adre,TD,13.4667,22.2,78.28,56,100,6.38,overcast clouds
224,Pekan,MY,3.4836,103.3996,75.31,88,100,3.49,overcast clouds
225,Grong,NO,64.4654,12.3149,50.79,89,100,2.04,light rain
226,Kirakira,SB,-10.4544,161.9205,84.16,69,38,6.24,scattered clouds
227,Athabasca,CA,54.7169,-113.2854,68.41,42,21,3.85,few clouds
228,Ahipara,NZ,-35.1667,173.1667,57.42,75,78,26.6,broken clouds
229,San Jeronimo,PE,-11.9472,-75.2829,50.79,68,5,6.67,clear sky
230,Kasane,BW,-17.8167,25.15,52.45,66,0,3.94,clear sky
231,Mandalgovi,MN,45.7625,106.2708,56.77,53,4,6.33,clear sky
232,Taloqan,AF,36.7361,69.5345,73.53,43,90,2.35,overcast clouds
233,Guerrero Negro,MX,27.9769,-114.0611,73.99,59,14,17.36,few clouds
234,Axim,GH,4.8699,-2.2405,76.93,80,90,6.31,overcast clouds
235,Sitka,US,57.0531,-135.33,51.69,76,100,5.75,light rain
236,Olafsvik,IS,64.8945,-23.7142,47.26,83,100,6.17,moderate rain
237,Sete,FR,43.4018,3.6966,72.88,64,31,0.02,scattered clouds
238,Genhe,CN,50.7833,121.5167,58.17,91,99,3.15,overcast clouds
239,Pasighat,IN,28.0667,95.3333,73.99,96,99,3.02,overcast clouds
240,Mae Sai,TH,20.4335,99.8762,70.77,97,90,1.32,overcast clouds
241,Sechura,PE,-5.5569,-80.8222,69.08,66,26,17.94,scattered clouds
242,Sorland,NO,67.667,12.6934,49.86,92,100,13.09,overcast clouds
243,Zhigansk,RU,66.7697,123.3711,50.27,95,100,4.85,light rain
244,Fairbanks,US,64.8378,-147.7164,68.59,47,0,3.44,haze
245,San Quintin,MX,30.4833,-115.95,72.32,68,1,15.57,clear sky
246,Nuevo Laredo,MX,27.4763,-99.5164,106.07,21,0,14.97,clear sky
247,Vangaindrano,MG,-23.35,47.6,65.59,70,71,1.23,broken clouds
248,Naze,JP,28.3667,129.4833,70.72,91,100,22.06,light rain
249,Ixtapa,MX,20.7,-105.2,87.03,66,40,12.66,scattered clouds
250,Mount Isa,AU,-20.7333,139.5,56.97,51,0,10.36,clear sky
251,Umm Lajj,SA,25.0213,37.2685,83.14,70,0,4.5,clear sky
252,Agirish,RU,61.9247,63.0231,48.92,72,96,10.42,overcast clouds
253,Tahta,EG,26.7693,31.5021,86.0,27,0,10.58,clear sky
254,Lima,PE,-12.0432,-77.0282,62.91,79,100,12.66,overcast clouds
255,Vanavara,RU,60.34,102.2797,59.77,59,98,3.76,overcast clouds
256,Lhokseumawe,ID,5.1801,97.1507,76.62,82,92,3.51,overcast clouds
257,Nabire,ID,-3.3667,135.4833,77.45,89,93,2.84,overcast clouds
258,Flinders,AU,-34.5833,150.8552,54.05,80,3,1.99,clear sky
259,La Ronge,CA,55.1001,-105.2842,62.85,77,75,2.3,broken clouds
260,Kulhudhuffushi,MV,6.6221,73.07,82.8,72,100,6.49,overcast clouds
261,Hofn,IS,64.2539,-15.2082,50.18,91,91,9.42,overcast clouds
262,Rantepao,ID,-2.9701,119.8978,67.86,98,98,1.19,moderate rain
263,Victor Harbor,AU,-35.5667,138.6167,48.69,69,100,4.27,overcast clouds
264,Waipawa,NZ,-41.4122,175.5153,49.82,67,11,30.15,few clouds
265,Wajima,JP,37.4,136.9,65.08,77,75,6.91,broken clouds
266,Fare,PF,-16.7,-151.0167,79.27,73,47,23.51,scattered clouds
267,Mumbwa,ZM,-14.9783,27.0619,52.09,71,1,4.97,clear sky
268,Mezen,RU,65.8522,44.24,55.17,63,100,9.86,overcast clouds
269,Doembang Nangbuat,TH,14.8333,100.1,81.05,85,98,5.37,overcast clouds
270,Acarau,BR,-2.8856,-40.12,77.4,84,35,9.62,scattered clouds
271,Lompoc,US,34.6391,-120.4579,87.01,66,0,20.0,clear sky
272,Dudinka,RU,69.4058,86.1778,61.63,49,97,6.62,overcast clouds
273,Ishigaki,JP,24.3448,124.1572,84.33,94,75,14.97,broken clouds
274,Kailua,US,21.4022,-157.7394,87.78,70,75,16.11,broken clouds
275,Mirzapur,IN,25.15,82.5833,93.67,23,74,5.35,broken clouds
276,Bowen,AU,-20.0167,148.2333,59.74,60,0,5.66,clear sky
277,Santiago Del Estero,AR,-27.7951,-64.2615,60.49,35,0,9.22,clear sky
278,Hailar,CN,49.2,119.7,58.78,87,100,9.53,light rain
279,Aklavik,CA,68.2191,-135.0107,43.92,70,96,13.89,overcast clouds
280,Ambulu,ID,-8.345,113.6058,74.93,91,70,2.82,broken clouds
281,Hunterville,NZ,-39.9333,175.5667,49.69,88,83,14.94,broken clouds
282,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.24,82,75,12.39,broken clouds
283,Broken Hill,AU,-31.95,141.4333,45.68,77,25,3.31,scattered clouds
284,Saskylakh,RU,71.9167,114.0833,63.82,41,8,7.87,clear sky
285,Chuy,UY,-33.6971,-53.4616,47.86,91,2,6.51,clear sky
286,Bandarbeyla,SO,9.4942,50.8122,79.32,76,88,28.19,overcast clouds
287,Talaya,RU,61.3833,152.75,49.89,60,100,2.66,light rain
288,Sola,VU,-13.8833,167.55,80.37,77,35,11.1,scattered clouds
289,Hastings,GB,50.8552,0.5729,57.78,68,12,10.8,few clouds
290,Bershet,RU,57.7309,56.3783,45.66,93,75,6.46,broken clouds
291,Tuatapere,NZ,-46.1333,167.6833,46.56,83,100,20.69,overcast clouds
292,Pestravka,RU,52.405,49.9583,48.74,91,2,5.88,clear sky
293,Turukhansk,RU,65.8167,87.9833,62.08,78,99,10.2,light rain
294,Cherskiy,RU,68.75,161.3,66.83,30,29,2.89,scattered clouds
295,Maniitsoq,GL,65.4167,-52.9,35.04,79,87,33.24,light snow
296,Gat,IL,31.61,34.7642,74.08,100,31,7.78,scattered clouds
297,Antofagasta,CL,-23.65,-70.4,56.48,83,27,6.22,scattered clouds
298,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,23.02,scattered clouds
299,Suez,EG,29.9737,32.5263,73.45,76,0,5.17,clear sky
300,Nakhon Thai,TH,17.1006,100.8374,75.29,95,100,0.78,overcast clouds
301,Haines Junction,CA,60.7522,-137.5108,62.55,36,100,6.91,overcast clouds
302,Chilca,PE,-12.5211,-76.7372,61.81,87,80,7.16,broken clouds
303,Paamiut,GL,61.994,-49.6678,35.74,79,83,24.47,broken clouds
304,Sibolga,ID,1.7427,98.7792,75.09,85,100,3.98,overcast clouds
305,Ahuimanu,US,21.4447,-157.8378,87.51,66,75,17.27,broken clouds
306,Lorengau,PG,-2.0226,147.2712,82.81,76,77,10.49,broken clouds
307,Darnah,LY,32.767,22.6367,71.91,86,0,21.74,clear sky
308,Andenes,NO,69.3143,16.1194,44.58,87,100,14.97,overcast clouds
309,Mpika,ZM,-11.8343,31.4529,50.97,74,0,6.44,clear sky
310,Victoria,HK,22.2855,114.1577,84.96,85,100,11.01,overcast clouds
311,Vostok,RU,46.4856,135.8833,62.62,51,4,1.66,clear sky
312,Verkhnyaya Balkariya,RU,43.1279,43.4573,54.52,78,100,6.53,overcast clouds
313,Marysville,US,48.0518,-122.1771,62.28,65,100,11.5,overcast clouds
314,Yashalta,RU,46.3395,42.2762,71.71,48,92,11.65,overcast clouds
315,Puerto Carreno,CO,6.189,-67.4859,72.39,95,100,2.86,overcast clouds
316,Saint Anthony,US,45.0205,-93.218,81.03,67,40,13.8,scattered clouds
317,Khamgaon,IN,20.6833,76.5667,82.18,68,69,12.75,broken clouds
318,Isangel,VU,-19.55,169.2667,84.31,84,75,4.61,broken clouds
319,Prince Rupert,CA,54.3161,-130.3201,55.49,77,100,8.05,overcast clouds
320,Pafos,CY,34.7667,32.4167,73.18,78,40,12.66,scattered clouds
321,Boyolangu,ID,-8.1181,111.8935,74.95,91,100,1.05,overcast clouds
322,Vao,NC,-22.6667,167.4833,71.35,75,100,8.01,overcast clouds
323,Kathu,TH,7.9178,98.3332,85.75,83,75,10.58,broken clouds
324,Muhos,FI,64.808,25.9931,53.38,92,47,3.94,scattered clouds
325,Novoagansk,RU,61.9449,76.6625,54.64,94,20,5.23,few clouds
326,Coahuayana,MX,18.7333,-103.6833,88.54,60,20,7.07,few clouds
327,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.78,98,98,3.02,overcast clouds
328,Gambela,ET,8.25,34.5833,73.02,80,100,3.8,light rain
329,La Tuque,CA,47.4334,-72.7824,59.25,100,100,2.3,moderate rain
330,Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,5.26,light rain
331,Ilulissat,GL,69.2167,-51.1,33.82,80,100,12.66,overcast clouds
332,Tazovskiy,RU,67.4667,78.7,54.18,86,100,10.49,moderate rain
333,Parana,AR,-31.732,-60.5238,58.51,62,0,7.74,clear sky
334,Quatre Cocos,MU,-20.2078,57.7625,70.09,78,94,17.11,light rain
335,Medea,DZ,36.2642,2.7539,70.47,22,76,2.75,broken clouds
336,Guayaramerin,BO,-10.8368,-65.3614,66.25,76,37,4.27,scattered clouds
337,San Matias,BO,-16.3667,-58.4,58.93,44,69,0.87,broken clouds
338,Limoux,FR,42.9167,2.1667,65.52,71,51,5.5,broken clouds
339,Emerald,AU,-23.5333,148.1667,51.35,70,2,16.58,clear sky
340,Ugoofaaru,MV,5.6667,73.0,82.85,76,100,8.21,overcast clouds
341,Lazaro Cardenas,MX,17.9583,-102.2,86.0,65,28,10.94,scattered clouds
342,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,75,11.5,light rain
343,Palana,RU,59.1167,159.9667,38.77,94,100,7.92,light rain
344,Koslan,RU,63.4564,48.8989,45.32,62,78,2.8,broken clouds
345,Bundaberg,AU,-24.85,152.35,58.21,60,30,3.0,scattered clouds
346,Yishui,CN,35.7847,118.6281,68.77,79,45,5.48,scattered clouds
347,Sinnamary,GF,5.3833,-52.95,78.37,84,8,7.61,clear sky
